OID_,stid,station_name,lat,lon,elev,begints,begin_month,begin_day,begin_year,iem_network
146,BBD,Brady,31.179290000000002,-99.323930000000004,557.000000000000000,9/1/2005 0:00:00,9,1,2005,TX_ASOS
147,ORG,Orange,30.069179999999999,-93.803610000000006,4.000000000000000,9/1/2005 0:00:00,9,1,2005,TX_ASOS
148,HRX,Hereford,34.857759999999999,-102.326409999999996,1153.000000000000000,1/17/2007 0:00:00,1,17,2007,TX_ASOS
149,PEZ,Pleasanton,28.954190000000001,-98.519980000000004,131.099999999999994,1/19/2007 0:00:00,1,19,2007,TX_ASOS
150,TFP,Ingleside,27.913029999999999,-97.211500000000001,5.000000000000000,1/25/2007 0:00:00,1,25,2007,TX_ASOS
151,BEA,Beeville,28.361870000000000,-97.791030000000006,81.700000000000003,1/27/2007 0:00:00,1,27,2007,TX_ASOS
152,CWC,Kickapoo,33.857840000000003,-98.490399999999994,304.000000000000000,4/20/2007 0:00:00,4,20,2007,TX_ASOS
153,MNZ,Hamilton,31.665929999999999,-98.148640000000000,395.899999999999977,12/7/2007 0:00:00,12,7,2007,TX_ASOS
154,BKD,Breckenridge,32.719050000000003,-98.891000000000005,391.399999999999977,2/12/2008 0:00:00,2,12,2008,TX_ASOS
155,F12,HENDERSON RUSK C,32.141719999999999,-94.851720000000000,135.000000000000000,2/15/2008 0:00:00,2,15,2008,TX_ASOS
156,T89,Castroville,29.341899999999999,-98.850899999999996,232.199129999999997,2/22/2008 0:00:00,2,22,2008,TX_ASOS
157,5R3,Lago Vista - Rusty Allen,30.498590000000000,-97.969999999999999,373.000000000000000,2/23/2008 0:00:00,2,23,2008,TX_ASOS
158,RYW,Lago Vista,30.496700000000001,-97.965890000000002,375.199999999999989,4/11/2008 0:00:00,4,11,2008,TX_ASOS
159,CVB,Castroville,29.341919999999998,-98.850899999999996,235.000000000000000,6/9/2008 0:00:00,6,9,2008,TX_ASOS
160,APY,Zapata,26.968789999999998,-99.248909999999995,128.599999999999994,6/20/2008 0:00:00,6,20,2008,TX_ASOS
161,MCJ,Houston Dunn,29.713999999999999,-95.394999999999996,22.525835000000001,9/11/2008 0:00:00,9,11,2008,TX_ASOS
162,RFI,Henderson,32.141719999999999,-94.851720000000000,134.699999999999989,10/21/2008 0:00:00,10,21,2008,TX_ASOS
163,TME,Houston Exec,29.805029999999999,-95.897890000000004,50.600000000000001,2/19/2009 0:00:00,2,19,2009,TX_ASOS
164,BPC,Pampa,35.889279999999999,-101.030140000000003,845.000000000000000,3/17/2009 0:00:00,3,17,2009,TX_ASOS
165,0F2,Bowie,33.601669999999999,-97.775559999999999,335.600000000000023,4/15/2009 0:00:00,4,15,2009,TX_ASOS
166,AXH,Houston SW,29.506139999999998,-95.476920000000007,20.699999999999999,5/12/2009 0:00:00,5,12,2009,TX_ASOS
167,DZB,Horseshoe,30.527049999999999,-98.358760000000004,333.000000000000000,6/5/2009 0:00:00,6,5,2009,TX_ASOS
168,LZZ,Lampasas,31.106190000000002,-98.195890000000006,370.300000000000011,7/19/2009 0:00:00,7,19,2009,TX_ASOS
169,EDC,Austin,30.392550000000000,-97.562129999999996,187.500000000000000,7/22/2009 0:00:00,7,22,2009,TX_ASOS
170,6R3,Cleveland,30.356439999999999,-95.007999999999996,45.700000000000003,10/20/2009 0:00:00,10,20,2009,TX_ASOS
171,OZA,Ozona,30.735279999999999,-101.202969999999993,725.700000000000045,12/23/2009 0:00:00,12,23,2009,TX_ASOS
172,5C1,San Antonio,29.723929999999999,-98.694640000000007,422.100000000000023,5/11/2010 0:00:00,5,11,2010,TX_ASOS
173,FTN,Carrizo Springs,28.208600000000001,-100.018799999999999,236.000000000000000,6/18/2010 0:00:00,6,18,2010,TX_ASOS
174,SPL,South Padre Island,26.070599999999999,-97.157200000000003,3.000000000000000,6/18/2010 0:00:00,6,18,2010,TX_ASOS
175,F17,Center,31.831600000000002,-94.156400000000005,95.238235000000003,9/1/2010 0:00:00,9,1,2010,TX_ASOS
176,BMT,Beaumont,30.070200000000000,-94.215100000000007,9.800000000000001,3/10/2011 0:00:00,3,10,2011,TX_ASOS
177,ASL,Marshall,32.520499999999998,-94.307779999999994,108.799999999999997,5/18/2011 0:00:00,5,18,2011,TX_ASOS
178,BIF,Fort Bliss,31.849530000000001,-106.380039999999994,1203.000000000000000,9/6/2011 0:00:00,9,6,2011,TX_ASOS
179,T35,Cameron,30.879359999999998,-96.971100000000007,124.160769999999999,4/17/2012 0:00:00,4,17,2012,TX_ASOS
180,E11,Andews,32.331099999999999,-102.529499999999999,963.141660000000002,4/18/2012 0:00:00,4,18,2012,TX_ASOS
181,F44,Athens,32.163849999999996,-95.828350000000000,135.396070000000009,8/14/2012 0:00:00,8,14,2012,TX_ASOS
182,F46,Rockwall,32.930590000000002,-96.435490000000001,178.256529999999998,8/27/2012 0:00:00,8,27,2012,TX_ASOS
183,CFD,Brazos,30.715699999999998,-96.331400000000002,102.431479999999993,5/2/2013 0:00:00,5,2,2013,TX_ASOS
184,T20,Gonzales,29.527999999999999,-97.461399999999998,108.132350000000002,5/2/2013 0:00:00,5,2,2013,TX_ASOS
185,T77,Presidio,29.634100000000000,-104.361599999999996,889.220400000000041,5/2/2013 0:00:00,5,2,2013,TX_ASOS
186,PRS,Presidio Lely,29.634200000000000,-104.361500000000007,888.864500000000021,7/2/2013 0:00:00,7,2,2013,TX_ASOS
187,LXY,Mexia Limestone,31.641200000000001,-96.514499999999998,166.289549999999991,8/30/2013 0:00:00,8,30,2013,TX_ASOS
188,CZT,Carrizo Springs,28.522200000000002,-99.823599999999999,178.271549999999991,12/11/2013 0:00:00,12,11,2013,TX_ASOS
189,66R,Columbus,29.641100000000002,-96.515799999999999,74.340400000000002,10/2/2014 0:00:00,10,2,2014,TX_ASOS
190,ELA,Eagle Lake,29.600600000000000,-96.321899999999999,56.802055000000003,3/23/2015 0:00:00,3,23,2015,TX_ASOS
191,5T9,Maverick County,28.857099999999999,-100.513499999999993,267.384160000000008,8/27/2015 0:00:00,8,27,2015,TX_ASOS
192,T70,Laughlin AFB,29.126000000000001,-100.480999999999995,297.549620000000004,4/22/2016 0:00:00,4,22,2016,TX_ASOS
193,GZN,Cisco,32.365800000000000,-99.023700000000005,523.063899999999990,6/29/2016 0:00:00,6,29,2016,TX_ASOS
194,F00,Bonham,33.613100000000003,-96.179299999999998,189.558439999999990,11/15/2016 0:00:00,11,15,2016,TX_ASOS
195,IKG,Kingsville,27.550899999999999,-98.030900000000003,39.114970000000000,11/16/2016 0:00:00,11,16,2016,TX_ASOS
196,6P9,Ranger,32.431719999999999,-98.594750000000005,455.306669999999997,12/25/2016 0:00:00,12,25,2016,TX_ASOS
197,ETN,Eastland,32.413499999999999,-98.809799999999996,444.625850000000014,5/3/2017 0:00:00,5,3,2017,TX_ASOS
