Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev,CV
JCT,SSP585,0.99,1.3389895038893902,1.058060908340675,2.2535801018537267,30.51083,-99.76639,522.0,0.8928518035730697
F05,SSP585,0.99,1.4210977184193008,1.0941428243845586,2.1690485561553285,34.22567,-99.28375,386.0,0.7563911459701708
RPH,SSP585,0.99,1.3503876671680752,1.0547670432894003,2.174589524021368,33.11,-98.555,344.0,0.8292600028556021
PIL,SSP585,0.99,1.0537649976069248,0.7107342047918278,2.2467105674219368,26.1597,-97.33781,6.0,1.457608068324792
RKP,SSP585,0.99,1.235349584272199,0.7323349749854311,2.7964587180542395,28.08361,-97.04639,8.0,1.670882290606734
T82,SSP585,0.99,1.3867030644444298,1.0091758883165485,2.264103063302338,30.24325,-98.90919,517.0,0.9049718048243911
PEZ,SSP585,0.99,1.0938906021417851,0.6127364674733204,1.4527265276856367,28.95419,-98.51998,131.1,0.7678921992452044
SJT,SSP585,0.99,1.1395819626609858,0.9289150527519312,1.613713199896596,31.35167,-100.495,582.0,0.6009204862681609
AQO,SSP585,0.99,1.4607210963698103,1.0825709277869409,2.1955258063339564,30.78361,-98.66194,336.0,0.7619215477293615
LUD,SSP585,0.99,1.378385616004829,1.0531181758319146,2.1096580362846686,33.25425,-97.5805,319.0,0.766505285737872
PYX,SSP585,0.99,1.3564475287450564,0.9633461000525336,2.090284834540301,36.414,-100.75,889.0,0.8308015685135837
GPM,SSP585,0.99,1.2041045572542504,0.8768725185358683,1.7918548881634893,32.69878,-97.04692,180.0,0.7598861445338917
BPC,SSP585,0.99,1.1693610368541123,0.549763770422464,2.3511285217257725,35.88928,-101.03014,845.0,1.5404692772639763
BKD,SSP585,0.99,0.6033642715560537,0.4457636641691981,0.948821507512313,32.71905,-98.891,391.4,0.833754776440023
PSX,SSP585,0.99,1.1610761632002522,0.7561786945804356,1.7802436070443444,28.73,-96.25,5.0,0.8819963279939346
COT,SSP585,0.99,1.461732874282826,1.0394507370996382,2.644601502400661,28.45667,-99.21833,144.0,1.0981149795160503
CRP,SSP585,0.99,1.2458123382897186,0.9257247411371954,1.899932208003197,27.77306,-97.51278,13.0,0.781985726841827
GOP,SSP585,0.99,1.3456839670527938,0.9105807230235206,2.4319330041569565,31.42128,-97.79697,276.0,1.1305420279810396
SWW,SSP585,0.99,1.1210935604882126,0.7595253838391798,2.1855195796625373,32.46736,-100.46656,727.0,1.2719671632065812
MAF,SSP585,0.99,1.1130881286626149,0.986538811902616,1.4009041496245882,31.94662,-102.20745,868.9406,0.3722664244203518
MCJ,SSP585,0.99,1.0481814149127462,0.7255685482323551,1.463718043406466,29.714,-95.395,22.525835,0.704219216895347
ERV,SSP585,0.99,1.4511462536615414,0.7866912647143248,4.1567636459979305,29.97667,-99.08547,493.0,2.3223519840127884
JDD,SSP585,0.99,1.142524435770592,0.8687806857625932,1.7973682267360571,32.7422,-95.49648,132.0,0.8127507052811215
MKN,SSP585,0.99,1.5236799545473645,0.9625879330485556,2.9169217630695115,31.92,-98.6,423.0,1.2826406386645184
MNZ,SSP585,0.99,1.57349479365148,0.770581602526109,2.7409381064103773,31.66593,-98.14864,395.9,1.2522167291776187
RWV,SSP585,0.99,2.152101481885115,0.7820572243660744,6.367616147492542,30.51547,-96.70409,119.0,2.5953975545027945
SSF,SSP585,0.99,1.2040644761081594,0.8855752643728524,2.009412773804453,29.33698,-98.47105,176.0,0.9333698748958426
HOU,SSP585,0.99,1.0660300703758705,0.7517186043482652,1.6119530985977988,29.63747,-95.28245,14.0,0.8069514342557188
LBB,SSP585,0.99,1.0308216052461616,0.7368625141016767,2.466010422793863,33.66364,-101.82278,988.0,1.6774463203836936
NGP,SSP585,0.99,1.1408821138366227,0.8806092883882541,1.9228151284332933,27.69263,-97.29109,6.0,0.9135087906148783
6R3,SSP585,0.99,0.2903208420546965,0.1456449499579604,0.5282309480642773,30.35644,-95.008,45.7,1.3178041073407938
FTN,SSP585,0.99,1.2958026414253812,0.8542806425596303,2.1749530485618456,28.2086,-100.0188,236.0,1.0191925558582573
FTW,SSP585,0.99,0.9684276507804536,0.7999388708735268,1.1376884298033247,32.81978,-97.36244,216.0,0.34876075528988293
ALI,SSP585,0.99,0.9613112246413223,0.690450086577616,1.591367680072521,27.74089,-98.02694,54.0,0.9371757765868686
BEA,SSP585,0.99,0.9894283984878574,0.6527586006432526,1.8885113487423928,28.36187,-97.79103,81.7,1.2489562155156857
ELP,SSP585,0.99,0.918308242594573,0.7053764979757772,1.1877665244099969,31.81111,-106.37583,1194.0,0.5253029473755815
JWY,SSP585,0.99,1.249256106237586,0.6564137875807049,2.0950472440498182,32.45611,-96.9125,217.0,1.1515920949162937
MRF,SSP585,0.99,0.7808894501778467,0.2022463001710234,3.2616876442097484,30.37,-104.02,1481.0,3.9178930427885033
SGR,SSP585,0.99,1.1272060111393576,0.9021919863056468,1.596578821528532,29.62225,-95.65653,2.0,0.6160247801739566
PSN,SSP585,0.99,1.4359847521466926,1.042861148108248,2.272755311966852,31.77969,-95.70631,129.0,0.8564813533152088
