Station,return_period,GEV,Gumble,mean,lat,lon,elev
ELP,0.9,3.620505870303874,3.3844398241161784,3.502472847210026,31.81111,-106.37583,1194.0
JWY,0.9,4.079171335039846,4.481804756022069,4.280488045530958,32.45611,-96.9125,217.0
MRF,0.9,7.570907990480855,3.9355574557987407,5.7532327231397975,30.37,-104.02,1481.0
SGR,0.9,5.534150297238851,5.575938060584639,5.555044178911745,29.62225,-95.65653,2.0
PSN,0.9,3.806153872530785,4.3105538365974585,4.058353854564122,31.77969,-95.70631,129.0
DAL,0.9,4.657172217390107,4.732733516722984,4.6949528670565455,32.84711,-96.85178,148.0
CWC,0.9,4.505377390491205,4.309628266910152,4.407502828700679,33.85784,-98.4904,304.0
MDD,0.9,3.252313237375429,3.5274214105026456,3.3898673239390376,32.03653,-102.10103,854.0
IAH,0.9,5.80406987688847,5.61077687060555,5.707423373747011,29.9844,-95.3607,28.0
APY,0.9,3.404680920200132,4.040764312522505,3.7227226163613194,26.96879,-99.24891,128.6
PKV,0.9,4.779732219181659,4.544569625155391,4.662150922168525,28.654,-96.681,9.0
DUX,0.9,3.110000709092036,3.277493517533853,3.193747113312944,35.858,-102.013,1129.0
DTO,0.9,4.815509120939751,4.775300821509232,4.795404971224492,33.205,-97.2006,200.71758
OCH,0.9,6.252982506784161,6.108342012572088,6.180662259678124,31.57778,-94.70944,108.0
CRS,0.9,6.126875986073253,5.090928393159638,5.608902189616446,32.03,-96.4,137.0
HBV,0.9,4.858369153502797,4.021547275062621,4.439958214282709,27.34956,-98.73694,202.0
XBP,0.9,4.308392149518937,4.490321891414768,4.399357020466852,33.17533,-97.82839,259.7
LBX,0.9,5.4300841493592245,5.305282377820648,5.367683263589936,29.10864,-95.46208,8.0
RFI,0.9,7.24157151063608,4.58846892566305,5.915020218149565,32.14172,-94.85172,134.7
PEQ,0.9,3.0151425082607104,3.1196420402420126,3.067392274251361,31.38,-103.51,796.0
GLE,0.9,4.70962836866388,4.318998736122975,4.514313552393428,33.65139,-97.19694,256.0
NQI,0.9,5.141377641439029,4.643663642749187,4.892520642094109,27.5072,-97.8097,15.0
PVW,0.9,2.9251176709040365,3.2127579829343818,3.068937826919209,34.16815,-101.71734,1028.0
NOG,0.9,3.7979861489217264,3.726282433513311,3.762134291217519,27.90113,-98.05167,78.0
HDO,0.9,5.005073780562389,4.623507379253321,4.814290579907855,29.35944,-99.17417,283.0
JSO,0.9,3.774375123708815,4.152857513479747,3.9636163185942808,31.87,-95.22,206.0
FWS,0.9,3.896521172619168,3.966169196219223,3.9313451844191953,32.57297,-97.30332,208.02596
GTU,0.9,5.925319653869079,5.326722598853905,5.626021126361492,30.68083,-97.67666,240.0
HRL,0.9,4.744028391671108,4.734915631659838,4.739472011665473,26.2285,-97.65439,11.0
SPS,0.9,4.398674431408798,4.533174769330078,4.465924600369438,33.9786,-98.4928,314.0
CVB,0.9,3.624303520553714,4.214566524520446,3.91943502253708,29.34192,-98.8509,235.0
DHT,0.9,3.333191521057044,3.671015684905896,3.50210360298147,36.02259,-102.54728,1216.0
SAT,0.9,5.209228670712334,5.104976918670007,5.15710279469117,29.53369,-98.46978,242.0
BPG,0.9,3.889659628846668,3.688943404142599,3.789301516494633,32.21261,-101.52164,784.0
EBG,0.9,4.071624029683745,4.048828227517644,4.060226128600695,26.44167,-98.12222,24.0
BMQ,0.9,4.927724142405397,4.928935590286164,4.928329866345781,30.73893,-98.23861,389.0
RBD,0.9,5.286656062610541,5.091723747718376,5.189189905164459,32.68,-96.87,201.0
ORG,0.9,6.452175803870478,5.354213467956068,5.903194635913273,30.06918,-93.80361,4.0
TPL,0.9,7.270982783290141,5.45675663469238,6.363869708991261,31.1525,-97.40778,208.0
E38,0.9,4.025364018381138,3.36873364335404,3.697048830867589,30.384,-103.684,1376.0
OZA,0.9,3.7231780478455696,3.38856509854416,3.5558715731948647,30.73528,-101.20297,725.7
JAS,0.9,5.476856609920399,5.24620290727775,5.361529758599074,30.88569,-94.03494,65.0
AUS,0.9,5.356444784527628,5.267426746915467,5.311935765721548,30.19453,-97.66989,189.0
DWH,0.9,6.942505714353684,5.805464422157579,6.373985068255632,30.06803,-95.55624,46.0
GNC,0.9,3.614011361985675,3.5747876879683966,3.594399524977036,32.67533,-102.65267,1010.0
CDS,0.9,4.070023525222849,4.29560936143236,4.182816443327605,34.43389,-100.28806,595.0
CXO,0.9,7.180260371769847,6.01110009217248,6.595680231971164,30.35236,-95.41453,75.0
DRT,0.9,4.845189572980317,4.583703766857473,4.714446669918895,29.37421,-100.92716,307.0
TKI,0.9,5.545641190348791,4.946619405486596,5.246130297917693,33.18,-96.59,179.0
GLS,0.9,5.932625613037054,5.775424501918982,5.854025057478018,29.26533,-94.86042,16.0
INK,0.9,2.97943004362417,3.40797770017931,3.19370387190174,31.78,-103.2,859.0
GRK,0.9,3.644932264049475,3.544864449293659,3.594898356671567,31.07,-97.83,309.0
BPT,0.9,6.478224944220315,6.471713991594413,6.474969467907364,29.95206,-94.02614,4.5784636
LFK,0.9,5.622531228412219,5.362942500784831,5.492736864598525,31.23401,-94.75,88.0
BYY,0.9,5.877154879097958,4.485198922215688,5.181176900656823,28.97325,-95.86344,14.0
0F2,0.9,4.50573549470858,4.326452704476367,4.416094099592473,33.60167,-97.77556,335.6
EDC,0.9,3.8635345203589697,4.150818862648553,4.007176691503761,30.39255,-97.56213,187.5
BAZ,0.9,4.7211814374428815,4.587313560619136,4.654247499031008,29.709,-98.045,195.0
LHB,0.9,4.166455067992177,4.379393159823544,4.272924113907861,30.87,-96.62,87.0
HHF,0.9,4.386999559374262,3.872365793155432,4.129682676264848,35.895,-100.404,730.0
ABI,0.9,4.518444504441161,4.3235257948967,4.4209851496689305,32.41063,-99.68209,544.9975
DZB,0.9,3.929801024545645,4.236344257066632,4.083072640806138,30.52705,-98.35876,333.0
MFE,0.9,4.934068205363847,5.060540962266512,4.997304583815179,26.17583,-98.23861,33.0
ACT,0.9,4.791885959737169,4.84922847283136,4.820557216284264,31.61797,-97.2283,155.0
GVT,0.9,4.262466296600085,4.146108334282899,4.204287315441492,33.06784,-96.06533,163.0
GKY,0.9,5.217348250937719,5.04495554213965,5.131151896538684,32.66386,-97.09428,192.0
RYW,0.9,4.463977955610716,4.295240176580398,4.379609066095557,30.4967,-97.96589,375.2
MWL,0.9,3.8646602736799487,4.461532610120519,4.163096441900233,32.78161,-98.06018,296.0
RBO,0.9,3.847986439268043,4.027326777066866,3.937656608167455,27.77854,-97.69052,24.0
AMA,0.9,4.232636347501589,3.9206029525439217,4.076619650022755,35.21936,-101.70592,1099.0
OSA,0.9,5.689683263639588,4.527617246467262,5.1086502550534245,33.09556,-94.96139,111.0
ODO,0.9,3.3218452887575003,3.667193565158714,3.4945194269581075,31.92056,-102.38667,915.0
