Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
PIL,SSP245,0.9,4.475487399575165,4.187667030013905,4.891899598033762,26.1597,-97.33781,6.0
RKP,SSP245,0.9,5.065582692740416,4.35888941889922,6.19273562563164,28.08361,-97.04639,8.0
T82,SSP245,0.9,4.372533528217719,3.863718126977651,4.70819000242733,30.24325,-98.90919,517.0
PEZ,SSP245,0.9,4.223611742241518,3.338210839102933,4.765387753411207,28.95419,-98.51998,131.1
SJT,SSP245,0.9,4.089336591112612,3.6274820874495215,4.621231247919591,31.35167,-100.495,582.0
AQO,SSP245,0.9,4.050718188561606,3.48748196182202,4.975823008492897,30.78361,-98.66194,336.0
LUD,SSP245,0.9,4.525575734053364,4.060406577033543,4.961197601388188,33.25425,-97.5805,319.0
PYX,SSP245,0.9,3.866779516308116,3.112350258262759,5.130546726240992,36.414,-100.75,889.0
GPM,SSP245,0.9,3.998537223939493,3.2356374182427103,4.657296471837451,32.69878,-97.04692,180.0
BPC,SSP245,0.9,3.810386142719597,3.158359952988805,5.354805816689451,35.88928,-101.03014,845.0
BKD,SSP245,0.9,4.09617682715259,3.433656572571191,5.397668075797282,32.71905,-98.891,391.4
PSX,SSP245,0.9,4.983395112065714,4.44094977248589,5.5412140203215206,28.73,-96.25,5.0
COT,SSP245,0.9,3.691551293664797,3.084286491068504,4.25969113605226,28.45667,-99.21833,144.0
CRP,SSP245,0.9,5.228173061880018,4.656273060991429,5.986957024727507,27.77306,-97.51278,13.0
GOP,SSP245,0.9,4.497347419616622,3.821240962408738,5.243181139882779,31.42128,-97.79697,276.0
SWW,SSP245,0.9,3.9351182506735567,3.606777419452151,4.308627405358971,32.46736,-100.46656,727.0
MAF,SSP245,0.9,2.8489465438696118,2.246518293086197,3.24303054654249,31.94662,-102.20745,868.9406
MCJ,SSP245,0.9,4.819333816793763,4.026930864965302,5.450004194688999,29.714,-95.395,22.525835
ERV,SSP245,0.9,4.924441916344562,4.076659853725887,5.933076537853624,29.97667,-99.08547,493.0
JDD,SSP245,0.9,4.313643787957959,3.598635687324318,5.133366291187212,32.7422,-95.49648,132.0
MKN,SSP245,0.9,4.608843614290505,3.956589477393306,5.357043676326878,31.92,-98.6,423.0
MNZ,SSP245,0.9,4.302378173424461,3.569685420020918,5.2626683825446845,31.66593,-98.14864,395.9
RWV,SSP245,0.9,4.623985918402117,4.058937832132379,4.990609955441454,30.51547,-96.70409,119.0
SSF,SSP245,0.9,4.602166870354963,4.194040908700167,5.066206656188537,29.33698,-98.47105,176.0
HOU,SSP245,0.9,4.945880533340553,4.345883843415723,5.68731374429455,29.63747,-95.28245,14.0
LBB,SSP245,0.9,3.9114638460944815,3.5767783553188326,4.184720222054978,33.66364,-101.82278,988.0
NGP,SSP245,0.9,4.696103294220135,4.255158301202323,5.10074726639317,27.69263,-97.29109,6.0
6R3,SSP245,0.9,4.727109544251795,3.996764101238096,5.678871597188111,30.35644,-95.008,45.7
FTN,SSP245,0.9,4.073661695891977,3.508640078332512,4.65051127739213,28.2086,-100.0188,236.0
FTW,SSP245,0.9,4.650495694640817,4.3005227819755625,5.088115902705451,32.81978,-97.36244,216.0
ALI,SSP245,0.9,3.9028123399702768,3.263320925377228,4.523955271305391,27.74089,-98.02694,54.0
BEA,SSP245,0.9,4.019434881161153,3.118446870326881,5.04252378082812,28.36187,-97.79103,81.7
ELP,SSP245,0.9,2.8500401421224324,2.3460304720517464,3.275103503716214,31.81111,-106.37583,1194.0
JWY,SSP245,0.9,4.43397089705576,3.800165458825108,4.884981549362268,32.45611,-96.9125,217.0
MRF,SSP245,0.9,2.894952394841065,2.273197219783804,3.2645860279355534,30.37,-104.02,1481.0
SGR,SSP245,0.9,5.35792286800156,4.664693967699217,5.874610307629471,29.62225,-95.65653,2.0
PSN,SSP245,0.9,4.4822031230849335,4.04067026391321,5.012255779380588,31.77969,-95.70631,129.0
DAL,SSP245,0.9,4.74463418550169,4.432019163754913,5.109553141565053,32.84711,-96.85178,148.0
CWC,SSP245,0.9,3.873737991148893,3.324582784730908,4.250601123583552,33.85784,-98.4904,304.0
MDD,SSP245,0.9,2.839414340560172,2.21606514816688,3.209057207705092,32.03653,-102.10103,854.0
IAH,SSP245,0.9,5.441678399749879,4.930450963294573,5.878666285859252,29.9844,-95.3607,28.0
APY,SSP245,0.9,3.879970275724241,3.119315298532511,4.55218460473623,26.96879,-99.24891,128.6
PKV,SSP245,0.9,4.979671071428227,4.382232107116946,5.777828762002907,28.654,-96.681,9.0
DUX,SSP245,0.9,2.758692959013904,2.200942628469748,3.206613575901322,35.858,-102.013,1129.0
DTO,SSP245,0.9,4.696282353019565,4.419527546772764,5.060802894285596,33.205,-97.2006,200.71758
OCH,SSP245,0.9,5.615050580836026,4.835546652740404,6.4202586155952055,31.57778,-94.70944,108.0
CRS,SSP245,0.9,5.004182041812802,4.470827319563141,5.627818229801852,32.03,-96.4,137.0
HBV,SSP245,0.9,3.985915986086354,3.445789598517967,4.553477797084153,27.34956,-98.73694,202.0
XBP,SSP245,0.9,4.6319726456176085,4.041822271506703,5.105054658009003,33.17533,-97.82839,259.7
LBX,SSP245,0.9,4.917407826045026,4.4501054673644855,5.538717224141359,29.10864,-95.46208,8.0
RFI,SSP245,0.9,4.68668792420323,4.082015862901918,5.916910137175103,32.14172,-94.85172,134.7
PEQ,SSP245,0.9,2.813513130151247,2.2093492170737328,3.3272516213403205,31.38,-103.51,796.0
GLE,SSP245,0.9,4.671586060618826,4.235380298074184,5.1271241746943526,33.65139,-97.19694,256.0
NQI,SSP245,0.9,4.326098178814498,3.737888967274972,4.774582229565292,27.5072,-97.8097,15.0
PVW,SSP245,0.9,3.785592261634879,2.973861861544785,5.839431281549551,34.16815,-101.71734,1028.0
NOG,SSP245,0.9,4.447291949398691,4.130480576004612,4.800843428548398,27.90113,-98.05167,78.0
HDO,SSP245,0.9,4.535936089662533,4.201198791210378,4.96101167339196,29.35944,-99.17417,283.0
JSO,SSP245,0.9,4.391470533619925,3.626440060953593,5.0188567101623285,31.87,-95.22,206.0
FWS,SSP245,0.9,4.105830704314987,3.383327539932933,4.903643325953633,32.57297,-97.30332,208.02596
GTU,SSP245,0.9,4.9771976431424,4.119685831987683,5.868970721374666,30.68083,-97.67666,240.0
HRL,SSP245,0.9,3.920533110017408,3.290363737448984,4.559885944960202,26.2285,-97.65439,11.0
SPS,SSP245,0.9,4.468500599888162,4.087627029742058,4.805999750384499,33.9786,-98.4928,314.0
CVB,SSP245,0.9,4.294697259987302,3.6266635997558248,4.925244772247256,29.34192,-98.8509,235.0
DHT,SSP245,0.9,3.5772129312447447,3.263467486557623,4.0057464998125365,36.02259,-102.54728,1216.0
SAT,SSP245,0.9,5.03469118866759,4.390810365245002,5.53231984057057,29.53369,-98.46978,242.0
BPG,SSP245,0.9,3.660516793009017,3.3580669283646056,4.1198551514953925,32.21261,-101.52164,784.0
EBG,SSP245,0.9,3.660537538903166,3.0956169398837274,4.124582637197741,26.44167,-98.12222,24.0
BMQ,SSP245,0.9,4.613525622598433,4.174259845977624,5.062718600581906,30.73893,-98.23861,389.0
RBD,SSP245,0.9,4.790209746429251,4.216563940227733,5.536754854881307,32.68,-96.87,201.0
ORG,SSP245,0.9,4.8264276256811085,4.2164618278090735,5.786163608644932,30.06918,-93.80361,4.0
TPL,SSP245,0.9,4.888538917436133,4.353747719720944,5.64897654757676,31.1525,-97.40778,208.0
E38,SSP245,0.9,2.891501811943462,2.1883250585142857,3.2427767727503185,30.384,-103.684,1376.0
OZA,SSP245,0.9,4.322098636699487,3.268991798615266,6.187552710657651,30.73528,-101.20297,725.7
JAS,SSP245,0.9,4.830344993401678,4.278464699231142,5.676919249261183,30.88569,-94.03494,65.0
AUS,SSP245,0.9,4.772312883456412,4.212137396748372,5.233183596246028,30.19453,-97.66989,189.0
DWH,SSP245,0.9,5.345256864912813,4.822858880051943,5.90914369358814,30.06803,-95.55624,46.0
GNC,SSP245,0.9,3.8878592454101017,3.273742173750241,5.521915185430676,32.67533,-102.65267,1010.0
CDS,SSP245,0.9,3.708765716404306,3.137241642388823,4.206305986755361,34.43389,-100.28806,595.0
CXO,SSP245,0.9,5.502139981770383,5.0752944216324565,6.086934507349253,30.35236,-95.41453,75.0
DRT,SSP245,0.9,4.177015584770552,3.749975980398398,4.699718171473097,29.37421,-100.92716,307.0
TKI,SSP245,0.9,4.794775998351363,4.331704134352772,5.327993485469131,33.18,-96.59,179.0
GLS,SSP245,0.9,4.955417706067642,4.49106953865731,5.4322632628828655,29.26533,-94.86042,16.0
INK,SSP245,0.9,2.8556466892308,2.225549052405707,3.3773646215544573,31.78,-103.2,859.0
BPT,SSP245,0.9,5.442987836609613,4.846919486100105,6.11756871303198,29.95206,-94.02614,4.5784636
LFK,SSP245,0.9,4.976873252183292,4.2463882720945,5.55176330302208,31.23401,-94.75,88.0
BYY,SSP245,0.9,4.670212225385217,3.8193579510078193,6.254342890004983,28.97325,-95.86344,14.0
0F2,SSP245,0.9,4.592552586301401,4.051037545074169,5.257226971692644,33.60167,-97.77556,335.6
EDC,SSP245,0.9,4.598800782138757,3.944204371154453,5.389718719231809,30.39255,-97.56213,187.5
BAZ,SSP245,0.9,4.954581954088662,4.297688114833011,5.698955616230457,29.709,-98.045,195.0
LHB,SSP245,0.9,4.669341880393828,4.25270738325406,5.116363490480909,30.87,-96.62,87.0
HHF,SSP245,0.9,3.561434385502459,2.9804118238610617,4.006235572291115,35.895,-100.404,730.0
ABI,SSP245,0.9,3.836609126398142,3.233947828590073,4.4020765058993145,32.41063,-99.68209,544.9975
DZB,SSP245,0.9,4.312301634249685,3.7642111720536655,4.763146873073398,30.52705,-98.35876,333.0
MFE,SSP245,0.9,4.319823941537235,3.844740261695865,4.842148378876551,26.17583,-98.23861,33.0
ACT,SSP245,0.9,4.756270608528146,4.408427191035855,5.2428303946427,31.61797,-97.2283,155.0
GVT,SSP245,0.9,4.575793936745389,3.726663700841792,5.937144911060407,33.06784,-96.06533,163.0
GKY,SSP245,0.9,4.835962007101584,4.286714358276941,5.584354728848293,32.66386,-97.09428,192.0
RYW,SSP245,0.9,4.423027538422274,3.6848785560125887,5.36667240049286,30.4967,-97.96589,375.2
MWL,SSP245,0.9,4.473087357417112,3.896101237684841,5.013705052897456,32.78161,-98.06018,296.0
RBO,SSP245,0.9,4.202933201765131,3.4632383239837496,5.316337693782584,27.77854,-97.69052,24.0
AMA,SSP245,0.9,3.9051634008515608,3.523135916008985,4.2450951354373165,35.21936,-101.70592,1099.0
OSA,SSP245,0.9,4.442614694977031,3.9391554204298833,5.098293984205808,33.09556,-94.96139,111.0
ODO,SSP245,0.9,2.811266526131408,2.151687763086377,3.2493291357228715,31.92056,-102.38667,915.0
